AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
1346700.00;1000000.00;GBP;USD;1.3467000;2016-06-29 19:25:45.753
1348000.00;1000000.00;GBP;USD;1.3480000;2016-06-29 14:56:51.097
1330500.00;1000000.00;GBP;USD;1.3305000;2016-06-28 16:43:58.857
1000000.00;1338000.00;USD;GBP;1.3380000;2016-06-28 15:06:55.067
1318500.00;1000000.00;GBP;USD;1.3185000;2016-06-27 19:51:59.543
1000000.00;1317400.00;USD;GBP;1.3174000;2016-06-27 18:06:11.487
1000000.00;1319800.00;USD;GBP;1.3198000;2016-06-27 17:36:01.140
1000000.00;1317700.00;USD;GBP;1.3177000;2016-06-27 16:45:47.093
1341000.00;1000000.00;GBP;USD;1.3410000;2016-06-27 10:27:32.323
1374700.00;1000000.00;GBP;USD;1.3747000;2016-06-24 19:22:11.420
1000000.00;1379700.00;USD;GBP;1.3797000;2016-06-24 04:43:00.237
