AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
1000000.00;1348000.00;USD;GBP;1.3480000;2016-06-29 18:56:42.077
1000000.00;1348000.00;USD;GBP;1.3480000;2016-06-29 18:56:42.017
1000000.00;1352000.00;USD;GBP;1.3520000;2016-06-29 17:29:21.460
1000000.00;1352200.00;USD;GBP;1.3522000;2016-06-29 17:24:38.270
1352000.00;1000000.00;GBP;USD;1.3520000;2016-06-29 16:02:22.937
1352000.00;1000000.00;GBP;USD;1.3520000;2016-06-29 16:00:04.823
1343100.00;1000000.00;GBP;USD;1.3431000;2016-06-29 13:00:21.157
1000000.00;1332100.00;USD;GBP;1.3321000;2016-06-28 20:01:00.663
1000000.00;1332400.00;USD;GBP;1.3324000;2016-06-28 19:59:04.843
1330500.00;1000000.00;GBP;USD;1.3305000;2016-06-28 17:30:19.463
1330600.00;1000000.00;GBP;USD;1.3306000;2016-06-28 17:30:19.273
1000000.00;1332500.00;USD;GBP;1.3325000;2016-06-28 17:15:13.850
1000000.00;1331900.00;USD;GBP;1.3319000;2016-06-28 17:01:38.257
1333200.00;1000000.00;GBP;USD;1.3332000;2016-06-28 16:55:04.490
1318800.00;1000000.00;GBP;USD;1.3188000;2016-06-27 19:45:44.710
1000000.00;1319400.00;USD;GBP;1.3194000;2016-06-27 18:51:43.017
1000000.00;1317100.00;USD;GBP;1.3171000;2016-06-27 18:06:19.740
1000000.00;1317400.00;USD;GBP;1.3174000;2016-06-27 18:06:11.680
1000000.00;1317400.00;USD;GBP;1.3174000;2016-06-27 18:06:11.673
1000000.00;1317400.00;USD;GBP;1.3174000;2016-06-27 18:06:11.493
1000000.00;1317400.00;USD;GBP;1.3174000;2016-06-27 18:06:11.270
1000000.00;1364700.00;USD;GBP;1.3647000;2016-06-24 21:59:16.453
1366000.00;1000000.00;GBP;USD;1.3660000;2016-06-24 21:59:08.017
1405500.00;1000000.00;GBP;USD;1.4055000;2016-06-24 04:24:44.773
1000000.00;1438800.00;USD;GBP;1.4388000;2016-06-24 03:52:31.910
1433500.00;1000000.00;GBP;USD;1.4335000;2016-06-24 03:23:26.610
1415500.00;1000000.00;GBP;USD;1.4155000;2016-06-24 03:09:43.570
1447800.00;1000000.00;GBP;USD;1.4478000;2016-06-24 03:01:34.150
1000000.00;1457500.00;USD;GBP;1.4575000;2016-06-24 02:22:29.637
1471500.00;1000000.00;GBP;USD;1.4715000;2016-06-24 01:36:41.313
1000000.00;1481900.00;USD;GBP;1.4819000;2016-06-23 15:52:28.993
1476500.00;1000000.00;GBP;USD;1.4765000;2016-06-22 16:03:52.043
1000000.00;1466200.00;USD;GBP;1.4662000;2016-06-21 17:34:45.420
1470500.00;1000000.00;GBP;USD;1.4705000;2016-06-21 14:30:42.443
1000000.00;1471600.00;USD;GBP;1.4716000;2016-06-21 14:30:35.610
