AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
1348000.00;1000000.00;GBP;USD;1.3480000;2016-06-29 14:57:21.933
1000000.00;1331000.00;USD;GBP;1.3310000;2016-06-28 17:45:52.767
1000000.00;1331000.00;USD;GBP;1.3310000;2016-06-28 17:45:52.563
1335150.00;1000000.00;GBP;USD;1.3351500;2016-06-28 13:25:35.573
5000000.00;6594000.00;USD;GBP;1.3188000;2016-06-27 18:06:03.573
1000000.00;1321700.00;USD;GBP;1.3217000;2016-06-27 17:58:35.873
1000000.00;1321600.00;USD;GBP;1.3216000;2016-06-27 17:58:15.060
1340500.00;1000000.00;GBP;USD;1.3405000;2016-06-27 10:27:22.637
1357000.00;1000000.00;GBP;USD;1.3570000;2016-06-24 05:26:38.233
1410600.00;1000000.00;GBP;USD;1.4106000;2016-06-24 04:30:57.623
1421500.00;1000000.00;GBP;USD;1.4215000;2016-06-24 04:14:34.450
1430000.00;1000000.00;GBP;USD;1.4300000;2016-06-24 04:13:16.130
1000000.00;1448700.00;USD;GBP;1.4487000;2016-06-24 03:47:15.993
1425500.00;1000000.00;GBP;USD;1.4255000;2016-06-24 03:13:30.913
1467200.00;1000000.00;GBP;USD;1.4672000;2016-06-22 17:30:50.780
