AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:05.873
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:05.670
1343000.00;1000000.00;GBP;USD;1.3430000;2016-06-29 21:44:46.177
2000000.00;2699400.00;USD;GBP;1.3497000;2016-06-29 18:18:29.720
1000000.00;1352100.00;USD;GBP;1.3521000;2016-06-29 17:29:17.310
1000000.00;1352200.00;USD;GBP;1.3522000;2016-06-29 17:21:10.150
5392000.00;4000000.00;GBP;USD;1.3480000;2016-06-29 14:56:51.517
4044000.00;3000000.00;GBP;USD;1.3480000;2016-06-29 14:56:50.893
1000000.00;1344200.00;USD;GBP;1.3442000;2016-06-29 14:20:57.377
1000000.00;1332400.00;USD;GBP;1.3324000;2016-06-28 20:00:55.620
1334500.00;1000000.00;GBP;USD;1.3345000;2016-06-28 19:08:40.713
1330500.00;1000000.00;GBP;USD;1.3305000;2016-06-28 17:30:19.607
1000000.00;1331800.00;USD;GBP;1.3318000;2016-06-28 16:58:55.227
1330500.00;1000000.00;GBP;USD;1.3305000;2016-06-28 16:43:58.653
1000000.00;1338500.00;USD;GBP;1.3385000;2016-06-28 15:31:56.647
1000000.00;1336600.00;USD;GBP;1.3366000;2016-06-28 15:23:45.103
1318800.00;1000000.00;GBP;USD;1.3188000;2016-06-27 19:45:42.790
1000000.00;1319900.00;USD;GBP;1.3199000;2016-06-27 18:51:47.183
2000000.00;2634200.00;USD;GBP;1.3171000;2016-06-27 18:06:19.943
4000000.00;5274000.00;USD;GBP;1.3185000;2016-06-27 18:06:08.283
1000000.00;1321600.00;USD;GBP;1.3216000;2016-06-27 17:58:15.663
1320600.00;1000000.00;GBP;USD;1.3206000;2016-06-27 17:38:41.927
1000000.00;1319800.00;USD;GBP;1.3198000;2016-06-27 17:36:00.877
1340700.00;1000000.00;GBP;USD;1.3407000;2016-06-27 10:27:26.117
1340600.00;1000000.00;GBP;USD;1.3406000;2016-06-27 10:27:24.633
1340600.00;1000000.00;GBP;USD;1.3406000;2016-06-27 10:27:06.313
1363500.00;1000000.00;GBP;USD;1.3635000;2016-06-24 17:08:19.713
1371700.00;1000000.00;GBP;USD;1.3717000;2016-06-24 16:57:15.827
1377000.00;1000000.00;GBP;USD;1.3770000;2016-06-24 15:45:02.967
1000000.00;1374800.00;USD;GBP;1.3748000;2016-06-24 15:33:53.897
1000000.00;1371000.00;USD;GBP;1.3710000;2016-06-24 14:38:33.880
1000000.00;1351500.00;USD;GBP;1.3515000;2016-06-24 05:18:52.853
1450000.00;1000000.00;GBP;USD;1.4500000;2016-06-24 01:42:05.653
1000000.00;1476000.00;USD;GBP;1.4760000;2016-06-22 16:05:24.340
1476500.00;1000000.00;GBP;USD;1.4765000;2016-06-22 16:03:51.687
1000000.00;1471200.00;USD;GBP;1.4712000;2016-06-22 14:44:45.857
1000000.00;1468800.00;USD;GBP;1.4688000;2016-06-21 16:20:43.950
1469500.00;1000000.00;GBP;USD;1.4695000;2016-06-21 16:14:44.770
1000000.00;1465800.00;USD;GBP;1.4658000;2016-06-21 15:59:47.073
