AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:07.693
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:07.367
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:07.180
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:06.957
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:06.767
1343400.00;1000000.00;GBP;USD;1.3434000;2016-06-29 21:50:06.093
1343000.00;1000000.00;GBP;USD;1.3430000;2016-06-29 21:44:47.197
1343000.00;1000000.00;GBP;USD;1.3430000;2016-06-29 21:44:47.010
1343000.00;1000000.00;GBP;USD;1.3430000;2016-06-29 21:44:46.600
1000000.00;1352200.00;USD;GBP;1.3522000;2016-06-29 17:24:38.003
2000000.00;2703600.00;USD;GBP;1.3518000;2016-06-29 16:42:12.247
1352000.00;1000000.00;GBP;USD;1.3520000;2016-06-29 16:00:05.150
1348000.00;1000000.00;GBP;USD;1.3480000;2016-06-29 14:57:22.230
1348000.00;1000000.00;GBP;USD;1.3480000;2016-06-29 14:56:52.773
1348000.00;1000000.00;GBP;USD;1.3480000;2016-06-29 14:56:51.347
1330600.00;1000000.00;GBP;USD;1.3306000;2016-06-28 17:30:19.057
1332600.00;1000000.00;GBP;USD;1.3326000;2016-06-28 17:02:26.110
1000000.00;1331700.00;USD;GBP;1.3317000;2016-06-28 16:58:20.137
1333200.00;1000000.00;GBP;USD;1.3332000;2016-06-28 16:55:03.967
1330500.00;1000000.00;GBP;USD;1.3305000;2016-06-28 16:44:06.767
1338600.00;1000000.00;GBP;USD;1.3386000;2016-06-28 15:31:27.370
1340200.00;1000000.00;GBP;USD;1.3402000;2016-06-28 14:21:35.300
1000000.00;1340000.00;USD;GBP;1.3400000;2016-06-28 14:20:05.937
1339500.00;1000000.00;GBP;USD;1.3395000;2016-06-28 14:19:14.033
1317500.00;1000000.00;GBP;USD;1.3175000;2016-06-27 20:11:50.207
1000000.00;1317100.00;USD;GBP;1.3171000;2016-06-27 19:48:09.080
1318500.00;1000000.00;GBP;USD;1.3185000;2016-06-27 19:45:39.907
1000000.00;1319900.00;USD;GBP;1.3199000;2016-06-27 18:51:47.673
1000000.00;1319900.00;USD;GBP;1.3199000;2016-06-27 18:51:47.453
1000000.00;1319400.00;USD;GBP;1.3194000;2016-06-27 18:51:42.830
1000000.00;1321600.00;USD;GBP;1.3216000;2016-06-27 17:58:15.430
1000000.00;1319700.00;USD;GBP;1.3197000;2016-06-27 17:37:34.700
1000000.00;1319800.00;USD;GBP;1.3198000;2016-06-27 17:37:32.123
1000000.00;1319700.00;USD;GBP;1.3197000;2016-06-27 17:10:15.677
1000000.00;1320000.00;USD;GBP;1.3200000;2016-06-27 17:09:55.663
1000000.00;1317700.00;USD;GBP;1.3177000;2016-06-27 16:45:47.233
1362500.00;1000000.00;GBP;USD;1.3625000;2016-06-24 21:58:41.557
1361500.00;1000000.00;GBP;USD;1.3615000;2016-06-24 18:20:56.490
1000000.00;1368700.00;USD;GBP;1.3687000;2016-06-24 16:57:36.680
1381100.00;1000000.00;GBP;USD;1.3811000;2016-06-24 16:12:18.553
1374400.00;1000000.00;GBP;USD;1.3744000;2016-06-24 15:48:33.057
1353300.00;1000000.00;GBP;USD;1.3533000;2016-06-24 05:25:01.107
1394100.00;1000000.00;GBP;USD;1.3941000;2016-06-24 04:38:52.510
1447000.00;1000000.00;GBP;USD;1.4470000;2016-06-24 04:00:19.330
1000000.00;1424500.00;USD;GBP;1.4245000;2016-06-24 03:13:48.403
1000000.00;1418500.00;USD;GBP;1.4185000;2016-06-24 03:10:58.903
1430400.00;1000000.00;GBP;USD;1.4304000;2016-06-24 03:06:06.633
1463000.00;1000000.00;GBP;USD;1.4630000;2016-06-24 02:18:06.347
1000000.00;1468000.00;USD;GBP;1.4680000;2016-06-24 01:37:14.547
1000000.00;1476100.00;USD;GBP;1.4761000;2016-06-23 08:10:11.680
1000000.00;1476000.00;USD;GBP;1.4760000;2016-06-22 16:05:24.527
1000000.00;1470500.00;USD;GBP;1.4705000;2016-06-22 14:44:29.473
1000000.00;1466100.00;USD;GBP;1.4661000;2016-06-21 17:35:23.110
