AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
669015.00;500000.00;GBP;USD;1.3380200;2016-06-29 09:21:45.940
500000.00;665890.00;USD;GBP;1.3317800;2016-06-28 11:40:19.183
1000000.00;1333040.00;USD;GBP;1.3330600;2016-06-28 09:40:49.717
500000.00;736530.00;USD;GBP;1.4730600;2016-06-21 15:02:06.133
1470090.00;1000000.00;GBP;USD;1.4700800;2016-06-21 14:56:58.343
1000000.00;1470260.00;USD;GBP;1.4702600;2016-06-21 14:30:39.927
500000.00;732900.00;USD;GBP;1.4658000;2016-06-20 16:00:57.193
732150.00;500000.00;GBP;USD;1.4642900;2016-06-20 15:31:59.153
731405.00;500000.00;GBP;USD;1.4628000;2016-06-20 11:26:07.037
500000.00;729695.00;USD;GBP;1.4593900;2016-06-20 09:23:43.777
500000.00;728400.00;USD;GBP;1.4568000;2016-06-20 08:41:16.703
728325.00;500000.00;GBP;USD;1.4566400;2016-06-20 08:10:53.887
