AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
1343000.00;1000000.00;GBP;USD;1.3430000;2016-06-29 21:44:46.723
1000000.00;1348000.00;USD;GBP;1.3480000;2016-06-29 18:56:53.767
1000000.00;1348000.00;USD;GBP;1.3480000;2016-06-29 18:56:51.640
2692600.00;2000000.00;GBP;USD;1.3463000;2016-06-29 15:03:04.683
1346300.00;1000000.00;GBP;USD;1.3463000;2016-06-29 15:03:04.510
1343500.00;1000000.00;GBP;USD;1.3435000;2016-06-29 13:00:30.317
1000000.00;1328800.00;USD;GBP;1.3288000;2016-06-28 17:51:10.463
1000000.00;1340000.00;USD;GBP;1.3400000;2016-06-28 14:20:05.493
1000000.00;1334400.00;USD;GBP;1.3344000;2016-06-28 13:38:29.213
1000000.00;1317100.00;USD;GBP;1.3171000;2016-06-27 18:06:21.027
1000000.00;1317100.00;USD;GBP;1.3171000;2016-06-27 18:06:20.807
1000000.00;1318500.00;USD;GBP;1.3185000;2016-06-27 18:06:05.773
2628400.00;2000000.00;GBP;USD;1.3142000;2016-06-27 16:59:12.867
1361000.00;1000000.00;GBP;USD;1.3610000;2016-06-24 17:06:29.420
