AmountBuy;AmountSell;CurrencyCodeSell;CurrencyCodeBuy;SpotBase;CreateTime
1343500.00;1000000.00;GBP;USD;1.3435000;2016-06-29 19:47:02.290
1000000.00;1350600.00;USD;GBP;1.3506000;2016-06-29 17:47:13.603
1347200.00;1000000.00;GBP;USD;1.3472000;2016-06-29 15:27:17.577
1000000.00;1345000.00;USD;GBP;1.3450000;2016-06-29 14:42:10.460
1334500.00;1000000.00;GBP;USD;1.3345000;2016-06-28 19:08:39.950
2668800.00;2000000.00;GBP;USD;1.3344000;2016-06-28 19:08:36.530
2661000.00;2000000.00;GBP;USD;1.3305000;2016-06-28 16:44:06.983
8000000.00;10540000.00;USD;GBP;1.3175000;2016-06-27 18:06:11.353
1000000.00;1340700.00;USD;GBP;1.3407000;2016-06-27 10:29:12.370
1000000.00;1360000.00;USD;GBP;1.3600000;2016-06-24 17:06:25.223
1363000.00;1000000.00;GBP;USD;1.3630000;2016-06-24 17:05:20.070
1000000.00;1366200.00;USD;GBP;1.3662000;2016-06-24 12:49:51.317
1355500.00;1000000.00;GBP;USD;1.3555000;2016-06-24 05:07:52.007
1000000.00;1402000.00;USD;GBP;1.4020000;2016-06-24 04:24:33.450
1458000.00;1000000.00;GBP;USD;1.4580000;2016-06-24 02:46:38.230
1473500.00;1000000.00;GBP;USD;1.4735000;2016-06-22 15:57:41.110
1471400.00;1000000.00;GBP;USD;1.4714000;2016-06-22 14:44:20.863
1472400.00;1000000.00;GBP;USD;1.4724000;2016-06-22 14:44:20.643
